bout_id,date,rating_diff,rd_sum,reach_diff,height_diff,age_diff,experience_diff,layoff_diff,division_experience_a,division_experience_b,is_title_fight,five_round_experience_interaction,style_matchup_prob,label,same_stance
419,2004-06-19,38.12,271.88,1.0,-0.0,-3.57,1,784,1,1,0,0.0,0.5952,0,0
420,2004-06-19,-31.28,234.32,-1.0,-5.0,-3.22,3,-127,1,1,1,0.0,0.5041,1,0
420,2004-06-19,31.28,234.32,1.0,5.0,3.22,-3,127,1,1,1,-0.0,0.4959,0,0
422,2004-06-19,78.03,208.53,2.0,3.0,5.18,3,0,1,1,0,-0.0,0.5727,1,1
422,2004-06-19,-78.03,208.53,-2.0,-3.0,-5.18,-3,0,1,1,0,0.0,0.4273,0,1
433,2004-08-21,10.6,237.61,-2.0,1.0,-1.97,-5,62,1,1,0,-0.0,0.4605,0,0
433,2004-08-21,-10.6,237.61,2.0,-1.0,1.97,5,-62,1,1,0,0.0,0.5395,1,0
432,2004-08-21,72.57,263.26,4.0,3.0,-0.93,0,-62,1,1,0,-0.0,0.4881,0,0
432,2004-08-21,-72.57,263.26,-4.0,-3.0,0.93,0,62,1,1,0,0.0,0.5119,1,0
426,2004-08-21,-35.3,189.7,-1.0,-1.0,-13.78,-3,0,1,1,1,-0.1389,0.5085,0,0
426,2004-08-21,35.3,189.7,1.0,1.0,13.78,3,0,1,1,1,0.1389,0.4915,1,0
435,2004-10-22,79.74,263.95,3.0,0.0,-2.6,0,127,0,1,0,-0.0,0.5378,1,0
435,2004-10-22,-79.74,263.95,-3.0,-0.0,2.6,0,-127,1,0,0,0.0,0.4622,0,0
436,2004-10-22,76.05,226.91,-3.0,-2.0,7.6,9,0,1,1,1,-0.2273,0.5012,1,0
436,2004-10-22,-76.05,226.91,3.0,2.0,-7.6,-9,0,1,1,1,0.2273,0.4988,0,0
438,2004-10-22,72.65,207.42,0.0,1.0,11.1,4,-78,1,0,0,-0.0,0.5727,1,0
438,2004-10-22,-72.65,207.42,-0.0,-1.0,-11.1,-4,78,0,1,0,0.0,0.4273,0,0
448,2005-02-05,-47.35,244.12,-4.0,1.0,8.03,1,0,1,1,0,-0.0,0.4966,0,1
448,2005-02-05,47.35,244.12,4.0,-1.0,-8.03,-1,0,1,1,0,0.0,0.5034,1,1
443,2005-02-05,22.89,228.06,3.0,5.0,2.92,-2,-78,1,1,1,-0.0,0.4398,0,1
441,2005-02-05,-46.58,183.54,-0.0,-3.0,-2.19,-4,62,1,1,0,-0.0,0.506,0,0
441,2005-02-05,46.58,183.54,0.0,3.0,2.19,4,-62,1,1,0,0.0,0.494,1,0
443,2005-02-05,-22.89,228.06,-3.0,-5.0,-2.92,2,78,1,1,1,0.0,0.5602,1,1
450,2005-04-09,8.47,227.29,4.0,0.0,-10.65,-7,-125,1,1,0,-0.0,0.5528,1,0
450,2005-04-09,-8.47,227.29,-4.0,-0.0,10.65,7,125,1,1,0,0.0,0.4472,0,0
462,2005-04-16,-56.29,236.97,1.0,-1.0,-2.99,-9,-62,0,1,0,-0.0,0.488,0,0
465,2005-04-16,18.46,280.1,-0.0,-1.0,-2.39,0,-62,0,1,0,0.0,0.4057,0,1
465,2005-04-16,-18.46,280.1,0.0,1.0,2.39,0,62,1,0,0,-0.0,0.5943,1,1
461,2005-04-16,-121.83,217.75,-2.0,-0.0,1.43,-9,0,1,1,1,-0.25,0.4118,0,0
459,2005-04-16,-16.65,180.77,1.0,1.0,-6.49,-1,0,1,1,1,0.1859,0.4052,1,1
461,2005-04-16,121.83,217.75,2.0,0.0,-1.43,9,0,1,1,1,0.25,0.5882,1,0
459,2005-04-16,16.65,180.77,-1.0,-1.0,6.49,1,0,1,1,1,-0.1859,0.5948,0,1
462,2005-04-16,56.29,236.97,-1.0,1.0,2.99,9,62,1,0,0,0.0,0.512,1,0
468,2005-06-04,40.22,224.81,4.0,4.0,-8.24,-3,-231,1,1,0,0.0,0.5076,1,1
468,2005-06-04,-40.22,224.81,-4.0,-4.0,8.24,3,231,1,1,0,-0.0,0.4924,0,1
469,2005-06-04,-5.45,210.96,2.0,1.0,-3.65,-8,-63,1,1,1,-0.1667,0.5255,1,0
469,2005-06-04,5.45,210.96,-2.0,-1.0,3.65,8,63,1,1,1,0.1667,0.4745,0,0
476,2005-08-06,91.93,271.81,-2.0,0.0,-0.39,-1,7,1,1,0,-0.0,0.54,1,0
476,2005-08-06,-91.93,271.81,2.0,-0.0,0.39,1,-7,1,1,0,0.0,0.46,0,0
478,2005-08-06,34.43,270.49,-3.0,1.0,10.38,1,-119,1,1,0,0.0,0.4325,1,0
478,2005-08-06,-34.43,270.49,3.0,-1.0,-10.38,-1,119,1,1,0,-0.0,0.5675,0,0
488,2005-08-20,106.63,226.4,-1.0,0.0,7.4,9,0,1,1,0,0.0,0.5005,1,0
487,2005-08-20,-45.03,238.28,-5.0,-2.0,9.03,0,0,1,1,0,-0.0,0.4102,0,0
488,2005-08-20,-106.63,226.4,1.0,-0.0,-7.4,-9,0,1,1,0,-0.0,0.4995,0,0
483,2005-08-20,-144.71,195.81,-2.0,-1.0,-5.69,-6,1513,1,1,1,-0.3846,0.5581,0,1
483,2005-08-20,144.71,195.81,2.0,1.0,5.69,6,-1513,1,1,1,0.3846,0.4419,1,1
487,2005-08-20,45.03,238.28,5.0,2.0,-9.03,0,0,1,1,0,0.0,0.5898,1,0
494,2005-10-03,65.76,263.06,3.0,-0.0,2.04,0,0,1,1,0,-0.0,0.5401,0,1
494,2005-10-03,-65.76,263.06,-3.0,0.0,-2.04,0,0,1,1,0,0.0,0.4599,1,1
491,2005-10-03,-66.54,209.18,2.0,0.0,-8.85,-9,0,1,1,0,0.0,0.4272,1,1
491,2005-10-03,66.54,209.18,-2.0,-0.0,8.85,9,0,1,1,0,-0.0,0.5728,0,1
498,2005-10-07,45.13,234.02,0.0,1.0,-5.05,6,0,1,1,1,0.0,0.5169,1,1
498,2005-10-07,-45.13,234.02,-0.0,-1.0,5.05,-6,0,1,1,1,-0.0,0.4831,0,1
500,2005-10-07,109.49,250.07,0.0,0.0,-8.08,-2,-1057,1,1,0,0.0,0.5094,1,1
500,2005-10-07,-109.49,250.07,-0.0,-0.0,8.08,2,1057,1,1,0,-0.0,0.4906,0,1
502,2005-10-07,29.35,245.34,2.0,1.0,-8.1,-3,-70,0,1,0,-0.0,0.4648,1,0
502,2005-10-07,-29.35,245.34,-2.0,-1.0,8.1,3,70,1,0,0,0.0,0.5352,0,0
503,2005-10-07,7.66,249.62,1.0,4.0,3.76,0,-125,1,0,0,0.0,0.4047,1,1
503,2005-10-07,-7.66,249.62,-1.0,-4.0,-3.76,0,125,0,1,0,-0.0,0.5953,0,1
506,2005-11-05,-7.48,246.23,-4.0,-3.0,1.59,-3,-77,1,1,0,-0.0,0.4361,1,1
506,2005-11-05,7.48,246.23,4.0,3.0,-1.59,3,77,1,1,0,0.0,0.5639,0,1
516,2005-11-19,19.75,232.37,9.0,5.0,-7.79,1,-848,1,1,0,-0.0,0.4959,1,1
516,2005-11-19,-19.75,232.37,-9.0,-5.0,7.79,-1,848,1,1,0,0.0,0.5041,0,1
515,2005-11-19,-144.99,215.01,-3.0,3.0,-8.94,-10,-174,1,1,0,-0.0,0.4748,0,0
513,2005-11-19,67.21,237.88,4.0,1.0,-2.55,2,63,1,1,1,0.0,0.5378,1,0
513,2005-11-19,-67.21,237.88,-4.0,-1.0,2.55,-2,-63,1,1,1,-0.0,0.4622,0,0
515,2005-11-19,144.99,215.01,3.0,-3.0,8.94,10,174,1,1,0,0.0,0.5252,1,0
527,2006-01-16,-74.48,280.1,1.0,1.0,-4.59,0,1242,1,1,0,0.0,0.4293,0,1
525,2006-01-16,74.01,279.93,-1.0,-2.0,-0.02,0,-91,1,1,0,-0.0,0.4236,0,1
527,2006-01-16,74.48,280.1,-1.0,-1.0,4.59,0,-1242,1,1,0,-0.0,0.5707,1,1
526,2006-01-16,-14.72,279.82,3.0,2.0,-0.94,0,-892,1,0,0,-0.0,0.5008,0,1
526,2006-01-16,14.72,279.82,-3.0,-2.0,0.94,0,892,0,1,0,0.0,0.4992,1,1
525,2006-01-16,-74.01,279.93,1.0,2.0,0.02,0,91,1,1,0,0.0,0.5764,1,1
522,2006-01-16,-0.73,263.74,4.0,2.0,1.44,0,14,1,1,0,0.0,0.592,1,1
524,2006-01-16,67.11,244.48,0.0,-2.0,-8.39,-1,4,1,1,0,-0.0,0.54,1,0
523,2006-01-16,3.98,264.83,-2.0,-0.0,0.32,2,33,1,1,0,-0.0,0.4329,0,1
523,2006-01-16,-3.98,264.83,2.0,0.0,-0.32,-2,-33,1,1,0,0.0,0.5671,1,1
522,2006-01-16,0.73,263.74,-4.0,-2.0,-1.44,0,-14,1,1,0,-0.0,0.408,0,1
524,2006-01-16,-67.11,244.48,-0.0,2.0,8.39,1,-4,1,1,0,0.0,0.46,0,0
533,2006-02-04,35.43,228.48,6.0,1.0,-0.86,2,14,1,1,0,0.0,0.5298,0,1
533,2006-02-04,-35.43,228.48,-6.0,-1.0,0.86,-2,-14,1,1,0,-0.0,0.4702,1,1
534,2006-02-04,17.6,253.5,-5.0,-3.0,-10.55,-4,0,1,1,0,-0.0,0.4623,1,1
529,2006-02-04,22.9,173.28,1.0,1.0,-6.49,-1,0,1,1,1,0.1571,0.4052,1,1
529,2006-02-04,-22.9,173.28,-1.0,-1.0,6.49,1,0,1,1,1,-0.1571,0.5948,0,1
534,2006-02-04,-17.6,253.5,5.0,3.0,10.55,4,0,1,1,0,0.0,0.5377,0,1
541,2006-03-04,-67.64,264.49,1.0,-0.0,1.53,2,-14,1,1,0,-0.0,0.5613,0,1
541,2006-03-04,67.64,264.49,-1.0,0.0,-1.53,-2,14,1,1,0,0.0,0.4387,1,1
540,2006-03-04,0.25,211.42,-6.0,-2.0,2.43,2,658,1,1,0,0.0,0.4833,0,1
538,2006-03-04,-99.64,222.79,-0.0,-1.0,-5.2,-1,47,1,1,1,0.2,0.4622,0,0
538,2006-03-04,99.64,222.79,0.0,1.0,5.2,1,-47,1,1,1,-0.2,0.5378,1,0
540,2006-03-04,-0.25,211.42,6.0,2.0,-2.43,-2,-658,1,1,0,-0.0,0.5167,1,1
546,2006-04-06,-35.4,256.97,3.0,2.0,-1.43,1,19,1,1,0,0.0,0.5918,1,1
546,2006-04-06,35.4,256.97,-3.0,-2.0,1.43,-1,-19,1,1,0,-0.0,0.4082,0,1
548,2006-04-06,-40.41,271.94,2.0,4.0,-0.77,1,-72,1,1,0,-0.0,0.4942,1,1
548,2006-04-06,40.41,271.94,-2.0,-4.0,0.77,-1,72,1,1,0,0.0,0.5058,0,1
551,2006-04-06,-31.9,271.51,2.0,2.0,2.12,-1,105,0,1,0,0.0,0.5004,1,1
551,2006-04-06,31.9,271.51,-2.0,-2.0,-2.12,1,-105,1,0,0,-0.0,0.4996,0,1
562,2006-04-15,-75.37,279.96,-4.0,-7.0,-5.36,0,196,1,1,0,-0.0,0.4352,0,1
557,2006-04-15,-62.68,211.2,3.0,-0.0,-4.14,-12,-244,1,1,0,-0.0,0.4907,0,1
557,2006-04-15,62.68,211.2,-3.0,0.0,4.14,12,244,1,1,0,0.0,0.5093,1,1
562,2006-04-15,75.37,279.96,4.0,7.0,5.36,0,-196,1,1,0,0.0,0.5648,1,1
556,2006-04-15,13.56,218.95,-9.0,-7.0,9.99,-2,77,1,1,0,-0.0,0.5118,1,0
555,2006-04-15,43.3,204.72,-3.0,-5.0,-2.92,2,101,1,1,1,-0.1429,0.5602,0,1
555,2006-04-15,-43.3,204.72,3.0,5.0,2.92,-2,-101,1,1,1,0.1429,0.4398,1,1
556,2006-04-15,-13.56,218.95,9.0,7.0,-9.99,2,-77,1,1,0,0.0,0.4882,0,0
569,2006-05-27,-24.15,230.86,-1.0,-0.0,-1.61,-7,-138,1,1,0,0.0,0.5262,0,0
568,2006-05-27,-33.43,238.86,-7.0,-1.0,-3.26,2,28,1,1,0,0.0,0.5037,0,0
569,2006-05-27,24.15,230.86,1.0,0.0,1.61,7,138,1,1,0,-0.0,0.4738,1,0
566,2006-05-27,-127.83,264.94,-0.0,-0.0,2.49,-2,1975,1,1,0,-0.0,0.5,0,0
566,2006-05-27,127.83,264.94,0.0,0.0,-2.49,2,-1975,1,1,0,0.0,0.5,1,0
568,2006-05-27,33.43,238.86,7.0,1.0,3.26,-2,-28,1,1,0,-0.0,0.4963,1,0
573,2006-06-24,-18.24,265.15,4.0,1.0,7.91,2,119,0,1,0,-0.0,0.5514,1,0
573,2006-06-24,18.24,265.15,-4.0,-1.0,-7.91,-2,-119,1,0,0,0.0,0.4486,0,0
588,2006-06-28,41.79,256.84,4.0,3.0,5.6,-1,9,1,1,0,0.0,0.5224,1,1
582,2006-06-28,1.64,263.66,-1.0,0.0,0.79,0,80,1,1,0,-0.0,0.5009,1,1
582,2006-06-28,-1.64,263.66,1.0,-0.0,-0.79,0,-80,1,1,0,0.0,0.4991,0,1
584,2006-06-28,15.51,250.54,-4.0,-4.0,-2.48,-2,0,1,1,0,0.0,0.4082,1,1
584,2006-06-28,-15.51,250.54,4.0,4.0,2.48,2,0,1,1,0,-0.0,0.5918,0,1
588,2006-06-28,-41.79,256.84,-4.0,-3.0,-5.6,1,-9,1,1,0,-0.0,0.4776,0,1
595,2006-07-08,-62.13,231.33,-3.0,-2.0,-5.71,-7,-33,0,1,0,0.0,0.5212,1,0
595,2006-07-08,62.13,231.33,3.0,2.0,5.71,7,33,1,0,0,-0.0,0.4788,0,0
593,2006-07-08,80.45,183.28,2.0,2.0,-10.95,5,-371,1,1,0,0.0,0.5632,1,1
593,2006-07-08,-80.45,183.28,-2.0,-2.0,10.95,-5,371,1,1,0,-0.0,0.4368,0,1
592,2006-07-08,1.82,249.67,0.0,-1.0,2.95,0,0,1,1,0,-0.0,0.507,1,1
591,2006-07-08,8.71,198.15,3.0,5.0,2.92,-2,0,1,1,1,0.125,0.4398,1,1
592,2006-07-08,-1.82,249.67,-0.0,1.0,-2.95,0,0,1,1,0,0.0,0.493,0,1
591,2006-07-08,-8.71,198.15,-3.0,-5.0,-2.92,2,0,1,1,1,-0.125,0.5602,0,1
600,2006-08-17,7.23,228.86,0.0,0.0,0.66,-2,-42,1,1,0,-0.0,0.4039,1,0
600,2006-08-17,-7.23,228.86,-0.0,-0.0,-0.66,2,42,1,1,0,0.0,0.5961,0,0
601,2006-08-17,48.11,250.59,-2.0,-2.0,0.22,5,0,1,1,0,0.0,0.5399,1,0
601,2006-08-17,-48.11,250.59,2.0,2.0,-0.22,-5,0,1,1,0,-0.0,0.4601,0,0
603,2006-08-17,41.07,238.48,0.0,-2.0,1.62,2,0,1,1,0,-0.0,0.5401,1,1
603,2006-08-17,-41.07,238.48,-0.0,2.0,-1.62,-2,0,1,1,0,0.0,0.4599,0,1
609,2006-08-26,118.47,191.22,1.0,1.0,5.72,8,0,1,1,1,-0.0952,0.5004,1,1
609,2006-08-26,-118.47,191.22,-1.0,-1.0,-5.72,-8,0,1,1,1,0.0952,0.4996,0,1
610,2006-08-26,33.3,232.82,-2.0,-1.0,-1.95,-1,74,1,1,0,-0.0,0.4893,1,1
610,2006-08-26,-33.3,232.82,2.0,1.0,1.95,1,-74,1,1,0,0.0,0.5107,0,1
611,2006-08-26,5.73,221.0,4.0,2.0,-0.36,4,84,1,1,0,0.0,0.4955,1,0
611,2006-08-26,-5.73,221.0,-4.0,-2.0,0.36,-4,-84,1,1,0,-0.0,0.5045,0,0
621,2006-09-23,-18.01,249.44,-0.0,3.0,4.31,0,0,1,1,0,-0.0,0.5646,0,1
619,2006-09-23,-37.45,228.6,-1.0,-1.0,-0.5,2,84,1,1,0,0.0,0.4844,0,1
621,2006-09-23,18.01,249.44,0.0,-3.0,-4.31,0,0,1,1,0,0.0,0.4354,1,1
619,2006-09-23,37.45,228.6,1.0,1.0,0.5,-2,-84,1,1,0,-0.0,0.5156,1,1
618,2006-09-23,111.37,186.09,3.0,0.0,5.17,6,-84,1,1,1,-0.2444,0.5112,1,0
618,2006-09-23,-111.37,186.09,-3.0,-0.0,-5.17,-6,84,1,1,1,0.2444,0.4888,0,0
627,2006-10-10,101.6,178.91,2.0,2.0,-10.95,5,0,1,1,0,0.0,0.5632,1,1
627,2006-10-10,-101.6,178.91,-2.0,-2.0,10.95,-5,0,1,1,0,-0.0,0.4368,0,1
634,2006-10-10,52.9,251.77,-2.0,-1.0,-4.25,2,-32,1,1,0,-0.0,0.5369,1,1
634,2006-10-10,-52.9,251.77,2.0,1.0,4.25,-2,32,1,1,0,0.0,0.4631,0,1
635,2006-10-10,-65.55,279.95,-1.0,1.0,2.08,0,285,1,1,0,-0.0,0.4977,1,0
635,2006-10-10,65.55,279.95,1.0,-1.0,-2.08,0,-285,1,1,0,0.0,0.5023,0,0
641,2006-10-14,-0.49,280.1,-1.0,1.0,6.54,0,63,1,1,0,-0.0,0.58,0,0
641,2006-10-14,0.49,280.1,1.0,-1.0,-6.54,0,-63,1,1,0,0.0,0.42,1,0
637,2006-10-14,-14.64,228.01,7.0,4.0,-2.81,-2,-70,1,0,1,-0.5,0.4694,0,0
636,2006-10-14,-148.99,245.41,1.0,1.0,-0.52,-6,-116,1,1,1,-0.1429,0.4889,1,1
636,2006-10-14,148.99,245.41,-1.0,-1.0,0.52,6,116,1,1,1,0.1429,0.5111,0,1
637,2006-10-14,14.64,228.01,-7.0,-4.0,2.81,2,70,0,1,1,0.5,0.5306,1,0
645,2006-11-11,54.93,249.51,0.0,0.0,6.8,0,-14,1,1,1,-0.3333,0.5764,1,1
644,2006-11-11,52.2,211.7,0.0,-5.0,0.21,2,125,1,1,1,0.25,0.4958,1,1
644,2006-11-11,-52.2,211.7,-0.0,5.0,-0.21,-2,-125,1,1,1,-0.25,0.5042,0,1
645,2006-11-11,-54.93,249.51,-0.0,-0.0,-6.8,0,14,1,1,1,0.3333,0.4236,0,1
655,2006-11-18,36.66,224.39,1.0,-0.0,-1.62,6,-42,1,1,0,0.0,0.4509,0,0
653,2006-11-18,-85.08,208.45,-6.0,-11.0,5.13,-3,0,1,1,1,0.2778,0.5889,0,1
655,2006-11-18,-36.66,224.39,-1.0,0.0,1.62,-6,42,1,1,0,-0.0,0.5491,1,0
652,2006-11-18,83.83,190.68,-3.0,-2.0,7.6,9,-203,1,1,1,-0.2411,0.5012,0,0
653,2006-11-18,85.08,208.45,6.0,11.0,-5.13,3,0,1,1,1,-0.2778,0.4111,1,1
652,2006-11-18,-83.83,190.68,3.0,2.0,-7.6,-9,203,1,1,1,0.2411,0.4988,1,0
661,2006-12-13,91.54,219.22,2.0,-2.0,0.73,-2,0,1,1,0,0.0,0.4607,1,1
661,2006-12-13,-91.54,219.22,-2.0,2.0,-0.73,2,0,1,1,0,-0.0,0.5393,0,1
663,2006-12-13,51.49,219.42,2.0,0.0,-2.7,2,-40,1,1,0,0.0,0.5674,1,1
663,2006-12-13,-51.49,219.42,-2.0,-0.0,2.7,-2,40,1,1,0,-0.0,0.4326,0,1
666,2006-12-13,-41.32,271.25,0.0,1.0,-3.54,-1,-9,1,1,0,0.0,0.5365,1,1
666,2006-12-13,41.32,271.25,-0.0,-1.0,3.54,1,9,1,1,0,-0.0,0.4635,0,1
678,2006-12-30,0.15,279.25,-2.0,1.0,2.94,0,49,1,1,0,-0.0,0.4982,0,1
678,2006-12-30,-0.15,279.25,2.0,-1.0,-2.94,0,-49,1,1,0,0.0,0.5018,1,1
675,2006-12-30,27.61,233.84,-0.0,3.0,9.19,-1,0,1,1,0,0.0,0.4524,0,0
675,2006-12-30,-27.61,233.84,0.0,-3.0,-9.19,1,0,1,1,0,-0.0,0.5476,1,0
674,2006-12-30,5.91,279.7,-1.0,-2.0,-1.44,0,63,1,1,0,0.0,0.4377,1,1
674,2006-12-30,-5.91,279.7,1.0,2.0,1.44,0,-63,1,1,0,-0.0,0.5623,0,1
672,2006-12-30,-67.04,246.76,7.0,4.0,5.13,-6,-54,1,1,0,-0.0,0.4497,1,0
